Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,CustomerID,TotalKids,TotalPurchases,DealShare,Segment,SegmentName,PredProb
76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,71,2617,0,1,0,0,0,0,0,0,1,0,1606,1430,1,18,1,26,0.0769230769230769,0,Premium Loyalists,0.32177293374380284
33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,35,2762,0,0,1,0,0,1,0,0,0,0,94,55,0,19,1,8,0.25,1,Deal Driven Browsers,0.14750423445243485
37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,38,2849,0,1,0,0,0,0,0,1,0,0,268,220,0,20,0,12,0.0833333333333333,1,Deal Driven Browsers,0.20479683852955383
2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,41,2698,0,1,0,0,0,0,0,1,0,0,1729,1728,0,21,1,43,0.3488372093023256,2,Quiet Value Regulars,0.21251522132732803
58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,71,2712,0,1,0,0,0,0,0,0,0,1,953,934,1,22,1,17,0.1764705882352941,2,Quiet Value Regulars,0.19973072845053116
65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,66,2328,0,1,0,0,0,0,0,0,0,1,539,534,0,23,1,20,0.15,2,Quiet Value Regulars,0.08261159246980686
40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,69,2627,0,0,0,1,0,0,0,1,0,0,345,246,0,24,1,20,0.35,1,Deal Driven Browsers,0.0876296535518957
18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,51,2702,0,0,1,0,0,0,0,1,0,0,62,49,0,25,0,8,0.25,1,Deal Driven Browsers,0.06919764880327245
53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,44,2557,0,1,0,0,0,0,0,1,0,0,216,175,0,26,2,14,0.2857142857142857,1,Deal Driven Browsers,0.1373301338826904
38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,31,2553,0,1,0,0,0,0,0,1,0,0,121,111,0,27,1,9,0.2222222222222222,1,Deal Driven Browsers,0.028916947967558396
84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,55,2378,0,1,0,0,0,0,0,0,0,1,1672,1672,1,28,0,26,0.0384615384615384,0,Premium Loyalists,0.15995104166143062
10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,31,2197,1,0,0,0,0,0,0,0,1,0,26,22,0,29,0,8,0.25,1,Deal Driven Browsers,0.035345613791666404
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,57,2573,0,0,0,1,0,0,0,0,1,0,229,140,0,30,0,11,0.0909090909090909,2,Quiet Value Regulars,0.017023608845413634
40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,50,2786,0,0,0,1,0,0,0,1,0,0,117,114,1,31,1,9,0.2222222222222222,1,Deal Driven Browsers,0.2883256487911452
46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,68,2767,1,0,0,0,0,0,0,0,0,1,259,216,0,32,2,17,0.3529411764705882,1,Deal Driven Browsers,0.3934797403007211
68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,74,2653,0,1,0,0,0,0,0,0,1,0,1174,1152,0,33,0,18,0.0555555555555555,2,Quiet Value Regulars,0.1849005980638843
49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,69,2463,0,0,1,0,0,0,0,0,1,0,62,59,0,34,2,6,0.1666666666666666,1,Deal Driven Browsers,0.02559588780765532
67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,50,2339,0,1,0,0,0,0,0,0,0,1,878,843,0,35,1,28,0.1785714285714285,2,Quiet Value Regulars,0.015520640769700922
23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,44,2459,0,1,0,0,0,1,0,0,0,0,45,9,0,36,1,9,0.3333333333333333,1,Deal Driven Browsers,0.010181180761809126
42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,47,2297,0,0,0,0,1,0,0,1,0,0,63,59,0,37,1,7,0.2857142857142857,1,Deal Driven Browsers,0.016685970649814457
48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,77,2672,1,0,0,0,0,0,0,0,0,1,860,818,1,38,0,24,0.0833333333333333,2,Quiet Value Regulars,0.36671814510288375
80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,40,2585,0,1,0,0,0,0,0,1,0,0,1293,1191,0,39,1,21,0.0952380952380952,2,Quiet Value Regulars,0.11095530994870163
20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,35,2633,0,1,0,0,0,0,0,0,1,0,46,39,0,40,1,7,0.2857142857142857,1,Deal Driven Browsers,0.02732412766798603
21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,63,2711,0,0,0,1,0,0,0,1,0,0,19,16,0,41,1,4,0.25,1,Deal Driven Browsers,0.08205970355599974
7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,45,2429,0,1,0,0,0,0,0,0,1,0,19,7,0,42,1,8,0.375,1,Deal Driven Browsers,0.11425180195032283
79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,44,2160,0,0,1,0,0,0,0,1,0,0,810,636,0,43,0,16,0.0625,2,Quiet Value Regulars,0.032401751154652256
7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,24,2756,0,1,0,0,0,1,0,0,0,0,72,22,0,44,0,10,0.3,1,Deal Driven Browsers,0.45415833463751537
41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,52,2560,0,0,0,1,0,0,0,1,0,0,42,29,0,45,1,5,0.2,1,Deal Driven Browsers,0.06365000668007718
72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,66,2757,0,1,0,0,0,0,0,0,0,1,1281,1243,0,46,2,28,0.3214285714285714,2,Quiet Value Regulars,0.24203771717930808
65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,63,2207,0,0,0,0,1,0,0,1,0,0,493,479,0,47,1,17,0.0588235294117647,2,Quiet Value Regulars,0.018582685288567637
79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,56,2846,0,1,0,0,0,0,0,0,1,0,1661,1629,0,48,0,29,0.0344827586206896,2,Quiet Value Regulars,0.26966793135192263
35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,43,2702,0,0,1,0,0,0,0,1,0,0,69,66,0,49,1,7,0.2857142857142857,1,Deal Driven Browsers,0.07740221574435656
82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,43,2181,1,0,0,0,0,0,0,1,0,0,1376,1135,2,50,0,21,0.0476190476190476,0,Premium Loyalists,0.4539292875871318
66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,42,2541,0,1,0,0,0,0,0,1,0,0,497,388,0,51,2,23,0.3043478260869565,2,Quiet Value Regulars,0.034502485393701585
82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,65,2746,0,0,0,1,0,0,0,0,1,0,1767,1577,1,52,0,27,0.037037037037037,0,Premium Loyalists,0.2859587718288789
70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,54,2612,1,0,0,0,0,0,0,1,0,0,1053,1013,0,53,0,21,0.0476190476190476,2,Quiet Value Regulars,0.2737967304638817
27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,32,2221,0,0,1,0,0,0,0,1,0,0,24,19,0,54,1,6,0.1666666666666666,1,Deal Driven Browsers,0.014997479408128496
55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,52,2277,0,1,0,0,0,0,0,0,0,1,475,432,0,55,1,19,0.1578947368421052,2,Quiet Value Regulars,0.02970148516261278
75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,38,2519,0,0,1,0,0,0,0,0,1,0,1358,1278,2,56,0,21,0.0476190476190476,0,Premium Loyalists,0.7541046194271483
66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,45,2819,0,0,0,1,0,0,0,1,0,0,606,600,0,57,2,22,0.1818181818181818,2,Quiet Value Regulars,0.07442566132600592
61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,68,2655,0,0,1,0,0,0,0,1,0,0,715,546,0,58,1,24,0.1666666666666666,2,Quiet Value Regulars,0.04196995670942433
67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,69,2542,0,0,0,0,1,0,0,0,0,1,600,594,0,59,1,19,0.0526315789473684,2,Quiet Value Regulars,0.07041186246087973
70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,72,2364,0,0,0,1,0,0,0,1,0,0,1046,1016,0,60,0,16,0.0625,2,Quiet Value Regulars,0.039526027761816546
25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,49,2563,0,1,0,0,0,0,0,1,0,0,19,4,0,61,1,5,0.2,1,Deal Driven Browsers,0.12414709155230579
32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,53,2208,0,0,0,1,0,0,0,1,0,0,11,11,0,62,2,4,0.25,1,Deal Driven Browsers,0.1005766462913496
88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,41,2261,0,0,1,0,0,1,0,0,0,0,1236,1198,2,63,1,32,0.03125,0,Premium Loyalists,0.625110676170982
69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,62,2434,0,0,0,1,0,0,0,1,0,0,544,435,0,64,1,18,0.0555555555555555,2,Quiet Value Regulars,0.07030227833230586
74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,50,2606,0,0,0,1,0,0,0,1,0,0,1489,1416,0,65,3,19,0.3684210526315789,2,Quiet Value Regulars,0.08775241445001514
66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,66,2815,0,1,0,0,0,0,0,0,1,0,1241,1229,0,66,0,21,0.1428571428571428,2,Quiet Value Regulars,0.24322109854234958
65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,61,2628,0,1,0,0,0,0,0,1,0,0,777,691,0,67,1,30,0.1333333333333333,2,Quiet Value Regulars,0.01906311963636846
60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,45,2609,0,1,0,0,0,0,0,0,0,1,642,623,1,68,2,24,0.2083333333333333,2,Quiet Value Regulars,0.10348856876324485
28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,68,2219,0,1,0,0,0,0,0,1,0,0,56,47,0,69,0,8,0.125,1,Deal Driven Browsers,0.0103258854353194
40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,43,2716,1,0,0,0,0,0,0,1,0,0,12,11,0,70,1,4,0.25,1,Deal Driven Browsers,0.03521147221722667
75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,48,2830,0,1,0,0,0,0,0,0,1,0,1872,1854,0,71,0,19,0.0526315789473684,2,Quiet Value Regulars,0.4374987999146307
75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,44,2784,0,0,1,0,0,0,0,1,0,0,2158,2107,1,72,0,22,0.0,0,Premium Loyalists,0.5027188291899761
26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,44,2457,0,0,0,1,0,1,0,0,0,0,9,0,0,73,0,4,0.25,1,Deal Driven Browsers,0.06605850661485833
56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,55,2702,0,0,0,1,0,0,0,1,0,0,641,590,1,74,0,21,0.0952380952380952,2,Quiet Value Regulars,0.525139519888436
29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,35,2828,0,0,1,0,0,0,0,1,0,0,148,131,0,75,1,12,0.3333333333333333,1,Deal Driven Browsers,0.1470879663893929
26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,51,2530,0,1,0,0,0,0,0,1,0,0,12,8,0,76,1,4,0.25,1,Deal Driven Browsers,0.058207311753308316
23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,47,2520,0,1,0,0,0,1,0,0,0,0,56,33,0,77,1,9,0.3333333333333333,1,Deal Driven Browsers,0.014577158760418703
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,57,2573,0,0,0,1,0,0,0,0,1,0,229,140,0,78,0,11,0.0909090909090909,2,Quiet Value Regulars,0.017023608845413634
81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,33,2283,1,0,0,0,0,0,0,1,0,0,702,626,0,79,0,27,0.037037037037037,2,Quiet Value Regulars,0.14501746817302502
29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,60,2481,0,1,0,0,0,0,0,1,0,0,53,50,0,80,2,7,0.2857142857142857,1,Deal Driven Browsers,0.006297781695664023
36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,50,2507,0,1,0,0,0,0,0,0,1,0,146,141,1,81,2,13,0.3846153846153846,1,Deal Driven Browsers,0.21518360292234973
50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,63,2191,0,0,1,0,0,0,0,1,0,0,338,304,2,82,1,17,0.2352941176470588,1,Deal Driven Browsers,0.5247992210809241
79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,47,2207,0,1,0,0,0,0,0,1,0,0,1221,1076,1,83,0,19,0.0526315789473684,0,Premium Loyalists,0.06485984758168116
54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,53,2318,0,0,0,1,0,0,0,1,0,0,187,180,0,84,1,10,0.1,2,Quiet Value Regulars,0.003593008993590389
42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,48,2257,0,0,1,0,0,0,0,0,1,0,28,24,0,85,1,5,0.2,1,Deal Driven Browsers,0.01316133588633589
23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,50,2195,0,1,0,0,0,0,0,0,0,1,43,43,0,86,1,10,0.3,1,Deal Driven Browsers,0.018692459869229378
30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,37,2197,0,1,0,0,0,0,0,1,0,0,36,27,0,87,1,6,0.1666666666666666,1,Deal Driven Browsers,0.011570486479920443
47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,60,2743,0,0,0,0,1,0,0,1,0,0,531,456,1,88,1,22,0.2272727272727272,2,Quiet Value Regulars,0.16824500513941346
51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48,2603,1,0,0,0,0,0,0,1,0,0,61,59,0,89,2,7,0.2857142857142857,1,Deal Driven Browsers,0.02484690461456351
78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,69,2369,0,1,0,0,0,1,0,0,0,0,755,532,1,90,0,25,0.04,0,Premium Loyalists,0.07697888352955093
50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,37,2533,0,1,0,0,0,0,0,0,0,1,399,388,0,91,0,16,0.125,2,Quiet Value Regulars,0.04663201316668054
47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,60,2500,0,0,1,0,0,1,0,0,0,0,62,52,0,92,1,7,0.2857142857142857,1,Deal Driven Browsers,0.19787355439321122
34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,61,2250,0,0,1,0,0,0,0,0,0,1,50,45,0,93,1,7,0.2857142857142857,1,Deal Driven Browsers,0.020420918401147646
85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,41,2594,0,0,0,1,0,0,0,1,0,0,1058,947,0,94,1,27,0.074074074074074,2,Quiet Value Regulars,0.1497501648837373
65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,75,2567,0,1,0,0,0,0,0,0,0,1,1039,958,0,95,0,16,0.0625,2,Quiet Value Regulars,0.04936827222358115
87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,61,2211,0,1,0,0,0,0,0,1,0,0,1059,1021,0,96,0,20,0.05,2,Quiet Value Regulars,0.3264087191700258
24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,41,2360,0,0,0,1,0,0,1,0,0,0,20,11,0,97,1,5,0.2,1,Deal Driven Browsers,0.005181240981240981
49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,56,2437,0,1,0,0,0,0,0,1,0,0,180,173,0,98,2,13,0.3076923076923077,1,Deal Driven Browsers,0.08229003500808531
52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,51,2671,0,1,0,0,0,0,0,1,0,0,845,780,0,99,2,26,0.1538461538461538,2,Quiet Value Regulars,0.024103619865192213
38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,42,2716,0,0,1,0,0,0,0,1,0,0,118,91,0,100,1,9,0.2222222222222222,1,Deal Driven Browsers,0.09109625907310505
89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,60,2728,0,1,0,0,0,0,0,0,1,0,807,764,0,101,0,14,0.0714285714285714,2,Quiet Value Regulars,0.19481566912912032
77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,41,2398,0,0,0,1,0,0,0,1,0,0,890,811,0,102,1,24,0.0416666666666666,2,Quiet Value Regulars,0.0043766816516816525
68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,29,2755,0,0,1,0,0,0,0,0,0,1,1734,1648,1,103,0,17,0.0588235294117647,0,Premium Loyalists,0.5520865863951973
57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,57,2163,0,0,0,1,0,0,0,0,1,0,548,488,1,104,1,20,0.15,2,Quiet Value Regulars,0.07403734839292116
86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,29,2702,0,0,1,0,0,0,0,1,0,0,708,686,2,105,0,25,0.04,0,Premium Loyalists,0.6801211929354042
43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,40,2723,0,1,0,0,0,0,0,0,0,1,479,407,0,106,1,21,0.238095238095238,1,Deal Driven Browsers,0.12753055622690743
50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,58,2451,0,0,1,0,0,0,0,1,0,0,87,60,0,107,2,8,0.25,1,Deal Driven Browsers,0.026788220018034145
90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,50,2315,0,1,0,0,0,0,0,1,0,0,1691,1658,2,108,0,15,0.0,0,Premium Loyalists,0.30958435871110174
36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,42,2654,0,1,0,0,0,1,0,0,0,0,457,337,0,109,1,20,0.25,1,Deal Driven Browsers,0.06690904997991912
30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,53,2512,0,0,0,1,0,1,0,0,0,0,51,21,0,110,2,7,0.2857142857142857,1,Deal Driven Browsers,0.0034584859584859576
21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,51,2386,0,0,0,1,0,0,0,1,0,0,30,27,0,111,1,7,0.2857142857142857,1,Deal Driven Browsers,0.020780468315878643
56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,67,2533,0,0,0,1,0,0,0,0,1,0,612,564,0,112,1,22,0.1818181818181818,2,Quiet Value Regulars,0.0022094363083724785
32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,53,2284,0,0,1,0,0,0,0,0,1,0,70,60,0,113,1,9,0.3333333333333333,1,Deal Driven Browsers,0.1287208258250923
